category,title,lens,url,grades,smps,icon,note,order,status
wonder,Esti-Mysteries,Estimate • Notice • Reason • Revise,,"K-2, 3-5, 6-8","SMP 1, SMP 3, SMP 6",,Steve Wyborney,10,live
wonder,Splat!,Subitize • Decompose • Explain,,"K-2, 3-5","SMP 1, SMP 7",,Steve Wyborney,20,live
wonder,3-Act Tasks,Notice • Wonder • Model,,"K-2, 3-5, 6-8","SMP 1, SMP 4",,,30,live
wonder,Dot Talks & Subitizing,See • Group • Describe,,K-2,"SMP 2, SMP 7",,,40,live
wonder,Mystery Number,Question • Narrow • Justify,,"K-2, 3-5","SMP 3, SMP 6",,Steve Wyborney,50,live
wonder,Cube Conversions,Visualize • Compare • Convert,,"3-5, 6-8","SMP 2, SMP 7",,Steve Wyborney,60,live
wonder,Leaping Numbers,Count • Pattern • Predict,,"K-2, 3-5","SMP 7, SMP 8",,Steve Wyborney,70,live
wonder,Math is Visual,Picture it • Name it • Connect it,,"K-2, 3-5, 6-8","SMP 4, SMP 5",,,80,live
wonder,Steve Wyborney's Hub,Every routine in one place,,"K-2, 3-5, 6-8",,,Start here if you're new,90,live
make-sense,Open Middle,Solve • Compare • Generalize,,"K-2, 3-5, 6-8","SMP 1, SMP 7",,,10,live
make-sense,Which One Doesn't Belong?,Compare • Justify • Defend,,"K-2, 3-5, 6-8","SMP 3, SMP 6",,,20,live
make-sense,Same But Different Math,Notice sameness • Name difference,,"K-2, 3-5, 6-8","SMP 2, SMP 7",,,30,live
make-sense,Same OR Different?,Decide • Explain • Convince,,"K-2, 3-5","SMP 3, SMP 6",,,40,live
make-sense,Would You Rather Math?,Choose • Justify • Defend,,"3-5, 6-8","SMP 3, SMP 4",,,50,live
make-sense,Seeing Structure,Look for structure • Use it,,"3-5, 6-8","SMP 7, SMP 8",,Pam Harris,60,live
make-sense,Beyond the Dots,Reason • Represent • Connect,,"K-2, 3-5","SMP 2, SMP 7",,Pam Harris,70,live
play-solve,Math for Love,Play • Strategize • Win,,"K-2, 3-5, 6-8","SMP 1, SMP 7",,Dan Finkel,10,live
play-solve,Number Jam,Watch • Play • Compete,,"3-5, 6-8","SMP 1, SMP 6",,Virtual game broadcast,20,live
play-solve,"Games, Games, Games",Practice through play,,"K-2, 3-5, 6-8","SMP 1, SMP 6",,,30,live
play-solve,Dice & Card Games,Quick • Repeatable • Low prep,,"K-2, 3-5","SMP 6, SMP 8",,,40,live
play-solve,Puzzles & Challenges,Persevere • Test • Retry,,"3-5, 6-8","SMP 1, SMP 5",,,50,live
build-fluency,Math is Figure-Out-Able,Reason • Relate • Retrieve,,"K-2, 3-5, 6-8","SMP 2, SMP 7, SMP 8",,Pam Harris,10,live
build-fluency,Basic Facts & Fact Fluency,Strategy first • Speed later,,"K-2, 3-5","SMP 7, SMP 8",,,20,live
build-fluency,Number Talks,Compute flexibly • Share strategies,,"K-2, 3-5, 6-8","SMP 2, SMP 3",,,30,live
build-fluency,Choral Counting,Count • Notice • Predict,,"K-2, 3-5","SMP 7, SMP 8",,,40,live
build-fluency,6-Week Fluency Intervention Plan,Diagnose • Target • Recheck,,"K-2, 3-5","SMP 6, SMP 8",,District resource,50,live
build-fluency,ST Math,Visual • Adaptive • Independent,,"K-2, 3-5, 6-8","SMP 1, SMP 5",,,60,live
reflect-justify,SMPs in Action,See the practice • Name the practice,,"K-2, 3-5, 6-8","SMP 1, SMP 2, SMP 3, SMP 4, SMP 5, SMP 6, SMP 7, SMP 8",,,10,live
reflect-justify,Grade-Level SMP Videos (K–8),Watch • Discuss • Try,,"K-2, 3-5, 6-8","SMP 1, SMP 2, SMP 3, SMP 4, SMP 5, SMP 6, SMP 7, SMP 8",,,20,live
reflect-justify,SMP Posters,Student-friendly • Print & post,,"K-2, 3-5, 6-8","SMP 1, SMP 2, SMP 3, SMP 4, SMP 5, SMP 6, SMP 7, SMP 8",,,30,live
reflect-justify,Stand & Talks,Move • Talk • Commit,,"3-5, 6-8","SMP 3, SMP 6",,,40,live
reflect-justify,Quick Sense-Making Routines,Five minutes • Big thinking,,"K-2, 3-5, 6-8","SMP 1, SMP 3, SMP 7",,,50,live
reflect-justify,Talk Moves & Discourse Starters,Revoice • Add on • Agree or disagree,,"K-2, 3-5, 6-8","SMP 3, SMP 6",,,60,live
support-learning,Progress Monitoring (GLR),Measure • Track • Adjust,,"K-2, 3-5",SMP 6,,District resource,10,live
support-learning,Teaching Tip Videos,Short • Practical • Classroom-ready,,"K-2, 3-5, 6-8",,,,20,live
support-learning,Instructional Assistant Toolkits,Ready to use • Small group,,"K-2, 3-5",,,District resource,30,live
support-learning,Intervention Planning,Identify • Plan • Reassess,,"K-2, 3-5","SMP 1, SMP 6",,District resource,40,live
support-learning,Targeted Fluency Activities,Small group • High repetition,,"K-2, 3-5","SMP 7, SMP 8",,District resource,50,live
